,first,last,employer,title,name,Fullname,start_at_this,school_current,title_current,gender,come_from,move_to,department,website,cv,phd,phd_year,master,master_year,bachelor,bachelor_year,career,postdoc,Unnamed: 21,id
1102,Hampton,Gabler,Virginia Polytechnic Institute and State University,Professor,Hampton C. Gabler,Hampton Gabler,1998,Y,PROF,M,,,Biomedical Engineering and Mechanics,https://beam.vt.edu/people/faculty/gabler.html,https://www.sbes.vt.edu/gabler/Gabler-Vitae.pdf,Princeton University ,1998,University of Virginia;Princeton University ,. ;1994,University of Virginia,.,,,,['AUTHOR_ID:9246053600']
1103,Hang,Yu,Virginia Polytechnic Institute and State University,Assistant Professor,Hang Yu,Hang Yu,2016,Y,ASST,M,,,Materials Science and Engineering,https://mse.vt.edu/faculty_staff/yu.html ; https://www.linkedin.com/in/hang-yu-78616717/,,Massachusetts Institute of Technology,2007-2013,.,,"Peking University, China",2007,,"Massachusetts Institute of Technology, 2013-2015",,"['AUTHOR_ID:56012782000', 'AUTHOR_ID:57034475800']"
1104,Hanif,Sherali,Virginia Polytechnic Institute and State University,Professor and Eminent Scholar,Hanif D. Sherali,Hanif Sherali,,N,PROF EMERITUS,M,,RETIRED,Industrial and Systems Engineering,https://www.ise.vt.edu/people/emeritus-faculty/emeritus/sherali.html,,,,,,,,,,,['AUTHOR_ID:7006900646']
1105,Hannah,Bayne,Virginia Polytechnic Institute and State University,Assistant Professor,Hannah B. Bayne,Hannah Bayne,2015,N,ASST,F,,"Loyola University, Maryland",Counseling Education,https://www.linkedin.com/in/hannah-bayne-phd-lpc-1aa66330/,,Old Dominion University,2009-2011,The College of William and Mary,2007-2009,Virginia Tech,2002-2006,"Virginia Tech, 2012-2015; Loyola University, Maryland, 2015-2018; University of Florida, 2018-",,,['AUTHOR_ID:55084624100']
1106,Hannah,Scherer,Virginia Polytechnic Institute and State University,Research Asst Professor AY,Hannah H. Scherer,Hannah Scherer,2015,Y,ASST,F,,,"Agriculture, Leadership and Community Education",https://vtnews.vt.edu/articles/2015/05/052915-cals-hannahscherer.html ; https://www.alce.vt.edu/about/faculty-staff/scherer/scherer-bio.html,,Stanford University,2006,,,Macalester College,2000,,,,['AUTHOR_ID:57191955907']
1107,Hans,Rott,Virginia Polytechnic Institute and State University,Professor,Hans C. Rott,Hans Rott,1977,Y,PROF EMERITUS,M,,RETIED(2019),Architecture,https://vtnews.vt.edu/articles/2019/07/Hans-Rott-emeritus.html,,.,.,Virginia Tech,.,Rice University,.,,,,
1108,Hans,Gindlesberger,Virginia Polytechnic Institute and State University,Assistant Professor,Hans Gindlesberger,Hans Gindlesberger,2015,N,ASSOC,M,,Binghamton University,School of Visual Arts,,https://drive.google.com/file/d/1P0EBCh18XvJ1mAKUW5w4WBUNNlFhezS0/view,.,,"State University of New York, Buffalo",2006,Bowling Green State University,2004,"Virginia Tech, 2012-2015",,,
1109,Hanumanthrao,Kannan,Virginia Polytechnic Institute and State University,Assistant Professor,Hanumanthrao Kannan,Hanumanthrao Kannan,2018,Y,ASST,M,,,Industrial and Systems Engineering,https://www.linkedin.com/in/hanumanthrao-kannan-78061017/ ; https://www.ise.vt.edu/people/faculty/kannan.html,,Iowa State University,2012-2015,University of Southern California,2010-2011,"Anna University, India",2006-2010,,"Iowa State University, 2015-2017",,['AUTHOR_ID:56352824600']
1110,Hao,Shi,Virginia Polytechnic Institute and State University,Research Asst Professor AY,Hao Shi,Hao Shi,,,,,,,.,,,,,,,,,,,,"['AUTHOR_ID:16550981200', 'AUTHOR_ID:57218442896']"
1111,Harald,Sontheimer,Virginia Polytechnic Institute and State University,Professor,Harald Sontheimer,Harald Sontheimer,2015,Y,PROF(DIR),M,,,Neuroscience,https://neuroscience.vt.edu/people/core-faculty/sontheimer.html,https://fbri.vtc.vt.edu/content/dam/fbri_vtc_vt_edu/pi-resumes/Sontheimer-CV-11252015.pdf,"University of Heidelberg, Germany",1989,University of Ulm,1986,University of Ulm,1982,"Yale University, 1991-1994; University of Alabama Birmingham, 1994-2015;","Yale University, 1989-1991;",,"['AUTHOR_ID:7102210801', 'AUTHOR_ID:57217701233']"
1112,Harold,Mckenzie,Virginia Polytechnic Institute and State University,Associate Professor,Harold C. Mckenzie,Harold Mckenzie,2013,Y,PROF,M,,,Large Animal Medicine,https://www.vetmed.vt.edu/people/bios/mckenzie-harold.asp,,University of Georgia,1990,Virginia Tech; Royal Veterinary College,1998; 2018,Davidson College,1986,"Marion duPont Scott Equine Medical Center, 2003-2013","Monocacy Equine Veterinary Associates, 1990-1995; Marion duPont Scott Equine Medical Center, 1995-2003",,['AUTHOR_ID:35579513300']
1113,Harold,Burkhart,Virginia Polytechnic Institute and State University,Professor and Eminent Scholar,Harold E. Burkhart,Harold Burkhart,1969,Y,PROF,M,,,Forestry Resources and Environmental Conservation,https://frec.vt.edu/people/Burkhart.html; https://www.linkedin.com/in/burkhart-harold-97522615/,,University of Georgia,1969,University of Georgia,1967,Oklahoma State University,1965,,,,['AUTHOR_ID:7005750159']
1114,Harold,Garner,Virginia Polytechnic Institute and State University,Administrative - Professor,Harold R. Garner,Harold Garner,2015,N,ASSOC VICE PROVOST,M,,Edward Via College of Osteopathic Medicine,Biological Sciences; Computer Science,https://www.vcom.edu/people/harold-skip-garner,https://www.vcom.edu/sites/default/files/person/cv//garner-skip-cv.pdf,"University of Wisconsin, Madison",1982,"University of Wisconsin, Madison",1978,"University of Missouri, Rolla",1976,"University of Texas, Southwestern Medical Center; 1994-2009; Virginia Tech, 2009-2015","General Atomics, 1982-1994",,"['AUTHOR_ID:7102657400', 'AUTHOR_ID:56055008300', 'AUTHOR_ID:57211389230']"
1115,Harpreet,Dhillon,Virginia Polytechnic Institute and State University,Assistant Professor,Harpreet Singh Dhillon,Harpreet Dhillon,2014,Y,ASSOC ,M,,,Electrical and Computer Engineering,https://www.dhillon.ece.vt.edu/background.html,,"University of Texas, Austin",2010-2013,"Virginia Tech, 2008-2010",,"Indian Institute of Technology, India",2004-2008,,"University of California, 2013-2014",,['AUTHOR_ID:35956099500']
1116,Harry,Dorn,Virginia Polytechnic Institute and State University,Professor,Harry C. Dorn,Harry Dorn,1974,Y,PROF,M,,,Chemistry,https://chem.vt.edu/people/faculty/teaching-and-research/hdorn.html,,University of California,1974,.,,University of California,1966,,,,['AUTHOR_ID:7005684911']
1117,Harry,Gibson,Virginia Polytechnic Institute and State University,Professor,Harry W. Gibson,Harry Gibson,,N,PROF EMERITUS,M,,RETIRED,Chemistry,https://chem.vt.edu/people/faculty/hgibson.html,,,,,,,,,,,['AUTHOR_ID:7202105623']
1118,Hassan,Aref,Virginia Polytechnic Institute and State University,Professor and Eminent Scholar,Hassan Aref,Hassan Aref,2011,N,.,M,,DECEASED,Engineering Science and Mechanics,https://vtnews.vt.edu/articles/2011/09/091211-engineering-inmemoriamaref.html,,,,,,,,,,,['AUTHOR_ID:7004712854']
1119,Hayward,Farrar,Virginia Polytechnic Institute and State University,Associate Professor,Hayward Farrar,Hayward Farrar,2013,N,.,M,,DECEASED,History,https://vtnews.vt.edu/articles/2013/05/053113-clahs-farrarobit.html,,,,,,,,,,,['AUTHOR_ID:55969773400']
1120,Hazhir,Rahmandad,Virginia Polytechnic Institute and State University,Assistant Professor,Hazhir Rahmandad,Hazhir Rahmandad,2015,N,ASSOC,M,,Massachusetts Institute of Technology,Industrial and Systems Engineering,https://mitsloan.mit.edu/shared/ods/documents/?DocumentID=9071,,Massachusetts Institute of Technology,2005,.,,Sharif University of Technology,1996-2000,"Virginia Tech, 2006-2015","Massachusetts Institute of Technology, 2013-2015",,['AUTHOR_ID:26321979400']
1121,Heather,M.,Virginia Polytechnic Institute and State University,Prof - Assistant Professor,Heather M. Moorefield-Lang,Heather M. Moorefield-Lang,2014,N,ASSOC,F,,"University of South Carolina, Columbia",University Libraries,,https://docs.google.com/document/d/1YKtafGugZN34VbQqJrSgRi_vxvo6eprjcmCHRw2jqBU/edit,"University of North Carolina, Chapel Hill",2008,"University of North Carolina, Greensboro",2000,"University of North Carolina, Greensboro",1996,"Virginia Tech, 2008-2014; University of South Carolina, 2014-2018; University of North Carolina, Greensboro, 2018-Present",,,
1122,Hee,Kang,Virginia Polytechnic Institute and State University,Assistant Professor,Hee Jung Kang,Hee Kang,2014,,,F,,,.,,,,,,,,,,,,"['AUTHOR_ID:57201036148', 'AUTHOR_ID:57054501100']"
1123,Hehuang,Xie,Virginia Polytechnic Institute and State University,Research Associate Professor,Hehuang D. Xie,Hehuang Xie,2012,Y,ASSOC,M,,,Biomedical Sciences and Pathobiology,https://www.vetmed.vt.edu/people/bios/xie.asp,,University of Iowa,2003,Shanghai Institute of Cell Biology; University of Iowa,1996; 2003,Sichuan University,1994,"Northwestern University, 2005-2012","University of Iowa, 2003-2004; University of Minesotta, 2004-2005",,"['AUTHOR_ID:7401673146', 'AUTHOR_ID:57207263777', 'AUTHOR_ID:57217991295']"
1124,Heidi,Mesmer,Virginia Polytechnic Institute and State University,Associate Professor,Heidi A. Mesmer,Heidi Mesmer,2007,Y,PROF,F,,,School of Education,https://liberalarts.vt.edu/departments-and-schools/school-of-education/faculty/heidi-anne-edelblute-mesmer.html,https://docs.google.com/document/d/1Llbb26RY8hWXpOmEBYtKQrJuml6nGRALf8NoEGU4ZFE/preview,University of South Florida,1999,University of Virginia ,1992,College of William and Mary,1991,"Virginia Commonwealth University, 1999-2002; Oklahoma State University, 2002-200",,,['AUTHOR_ID:6507688400']
1125,Heinrich,Schnoedt,Virginia Polytechnic Institute and State University,Associate Professor,Heinrich Schnoedt,Heinrich Schnoedt,,,,,,,.,,,,,,,,,,,,
1126,Helena,Carvalho,Virginia Polytechnic Institute and State University,Assistant Professor,Helena Carvalho,Helena Carvalho,2010,Y,ASST,F,,,Science Education,https://www.linkedin.com/in/helena-carvalho-7108b264/ ; https://medicine.vtc.vt.edu/academics/academic-departments/basic-science-education/faculty.html ;https://vtnews.vt.edu/articles/2011/02/021511-vtc-younginvestigatoraward.html,,University de Estado do Rio De Janiero,1997-2001,.,,.,,,"James Madison University,  2007; Virginia Commonwealth University,  2008-2010",,
1127,Helene,Renard,Virginia Polytechnic Institute and State University,Associate Professor,Helene S. Renard,Helene Renard,,N,ASSOC EMERITUS,F,,RETIRED,Interior Design,https://archdesign.caus.vt.edu/faculty/helene-renard/,,,,,,,,,,,
1128,Heng,Tham,Virginia Polytechnic Institute and State University,Assistant Professor,Heng Tham,Heng Tham,2016,Y,ASST,M,,,Small Animal Clinical Sciences,https://www.vetmed.vt.edu/people/bios/tham.asp,,"Universiti Putra, Malaysia",2004,.,,.,,,"Kuala Lumpur, Malaysia, 2004-2012; North Carolina State University, 2012-2016",,['AUTHOR_ID:56956963900']
1129,Heng,Xiao,Virginia Polytechnic Institute and State University,Assistant Professor,Heng Xiao,Heng Xiao,2012,Y,ASSOC ,M,,,Aerospace and Ocean Engineering,https://www.aoe.vt.edu/people/faculty/xiaoheng.html,,Princeton University,2009,"Royal Institute of Technology, Sweden",2005,"Zhejian University, China",2003,,"ETH Zurich,  Switzerland, 2009-2012",,"['AUTHOR_ID:35591128800', 'AUTHOR_ID:57219231177']"
1130,Henning,Mortveit,Virginia Polytechnic Institute and State University,Associate Professor,Henning S. Mortveit,Henning Mortveit,,,,,,,.,,,,,,,,,,,,['AUTHOR_ID:6603254048']
1131,Henri,De,Virginia Polytechnic Institute and State University,Professor,Henri T. De Hahn,Henri De Hahn,2014,Y,PROF,M,,,Architecture,https://archdesign.caus.vt.edu/faculty/henri-t-de-hahn/; https://atelierdehahn.com/,,.,,Ecole Polytechnique Federale de Lausanne,1979-1985,"Collège Saint-Michel, Switzerland",,"University of Kentucky, 1987-1993; ETH Zurich, 1993-1996; California Polytechnic State University, 2006-2012; NewSchool of Architecture and Design, 2012-2014",,,
1132,Henry,Quesada,Virginia Polytechnic Institute and State University,Assistant Professor,Henry J. Quesada Pineda,Henry Quesada Pineda,2008,Y,PROF,M,,,Sustainable Biomaterials,https://sbio.vt.edu/our-people/faculty-directory/quesada-pineda.html; https://sim.sbio.vt.edu/?page_id=12,,Princeton University,2004,Purdue University,2001,"Costa Rica Tech, Costa Rica",1997,"Costa Rica Institute of Technology, 2005-2008",,,"['AUTHOR_ID:36661343400', 'AUTHOR_ID:57213350885']"
1133,Henry,Wilson,Virginia Polytechnic Institute and State University,Professor,Henry P. Wilson,Henry Wilson,,N,PROF EMERITUS,M,,RETIRED,Plant Pathology,https://vtnews.vt.edu/articles/2014/06/061214-cals-wilsonemeritus.html,,,,,,,,,,,['AUTHOR_ID:7402690373']
1134,Herve,Marand,Virginia Polytechnic Institute and State University,Professor,Herve Marand,Herve Marand,,N,PROF EMERITUS,M,,RETIRED,Chemistry,https://chem.vt.edu/people/faculty/hmarand.html,,,,,,,,,,,['AUTHOR_ID:24312305100']
1135,Hesham,Rakha,Virginia Polytechnic Institute and State University,Professor,Hesham A. Rakha,Hesham Rakha,1999,Y,PROF,M,,,Civil and Environmental Engineering,https://sites.google.com/a/vt.edu/hrakha/,,"Queen's University, Canada",1993,"Queen's University, Canada",1990,"Cairo University, Egypt",1987,,"Queen's University,1993-1995; Queen's University, 1995-1997;  Virginia Tech,1997-1999",,['AUTHOR_ID:7004496780']
1136,Hilary,Bryon,Virginia Polytechnic Institute and State University,Assistant Professor,Hilary Bryon,Hilary Bryon,2008,Y,ASSOC,F,,,Architecture,https://www.linkedin.com/in/hilary-bryon-ph-d-77a14068/,,University of Pennsylvania,,Virginia Tech; University of Pennsylvania,,University of Virginia,,,"University of Kansas, 2006-2008",,['AUTHOR_ID:56469701700']
1137,Hillary,Mehl,Virginia Polytechnic Institute and State University,Assistant Professor,Hillary L. Mehl,Hillary Mehl,2013,Y,ASST,F,,,Virginia Agricultural Extension,https://www.arec.vaes.vt.edu/arec/tidewater/people/mehl-hillary.html,,"University of California, Davis",2007,.,,Humboldt State University,2001,,"University of Arizona, 2007-2011; University of Arizona; 2011-2013",,['AUTHOR_ID:18434785400']
1138,Hiromi,Okumura,Virginia Polytechnic Institute and State University,Assistant Professor,Hiromi Okumura,Hiromi Okumura,2018,Y,ASST,F,,,School of Visual Arts,https://hiromiokumura.com/,https://img1.wsimg.com/blobby/go/5f95e5e2-506e-4fb6-9813-f4fd66cb472b/downloads/Hiromi%20CV%202020%20February.docx?ver=1581301027907,,,"Iowa State University, Ames",2006-2009,"Doshisha University, Japan",,,"Washington State University, 2011-2017",,
1139,Hollie,Schramm,Virginia Polytechnic Institute and State University,Assistant Professor,Hollie Schramm,Hollie Schramm,,,,,,,.,,,,,,,,,,,,['AUTHOR_ID:56545278000']
1140,Holly,Scoggins,Virginia Polytechnic Institute and State University,Associate Professor,Holly L. Scoggins,Holly Scoggins,1999,Y,ASSOC,F,,,Horticulture,https://spes.vt.edu/faculty-staff/faculty/scoggins-holly.html,,North Carolina State University,1999,University of Georgia,1995,University of Georgia,1984,,,,['AUTHOR_ID:6603082925']
1141,Holly,Matusovich,Virginia Polytechnic Institute and State University,Assistant Professor,Holly Matusovich,Holly Matusovich,,Y,PROF,F,,,Engineering Education,https://enge.vt.edu/People/researchfaculty/hmatusovich.html,,Purdue University,2008,University of Connecticut,1999,Cornell University,1994,,,,"['AUTHOR_ID:24492167900', 'AUTHOR_ID:57219294613']"
1142,Homero,Escobar,Virginia Polytechnic Institute and State University,Assistant Professor,Homero Murzi Escobar,Homero Escobar,,Y,ASST,M,,,Engineering Education,https://enge.vt.edu/People/researchfaculty/hmurziescobar.html,,Virginia Tech,2016,"National Experimental University of Tachira, Venezuela; Temple University",2009; 2013,"National Experimental University of Tachira, Venezuela",2003,"National Experimental University of Tachira, Venezuela;",University of Queensland in Australia,,
1143,Hongliang,Xin,Virginia Polytechnic Institute and State University,Assistant Professor,Hongliang Xin,Hongliang Xin,2014,Y,ASST,M,,,Chemical Engineering,https://che.vt.edu/People/Faculty/Xin.html; https://www.linkedin.com/in/hongliang-xin-1138491a/,,"University of Michigan, Ann Arbor",2011,"Tsinghua University, China",2005,"Tsinghua University, China",2002,,"Stanford University, 2013-2014",,['AUTHOR_ID:8669962000']
1144,Honglin,Jiang,Virginia Polytechnic Institute and State University,Professor,Honglin Jiang,Honglin Jiang,,Y,PROF,M,,,Animal and Poultry Sciences,https://www.apsc.vt.edu/OurPeople/Faculty/jiang.html; https://search.vt.edu/search/m/person.html?person=1203472,,Purdue University,1997,"Nanjing Agricultural University, China",1990,"Nanjing University, China",1987,,,,"['AUTHOR_ID:56118322000', 'AUTHOR_ID:57215050701']"
1145,Hosein,Foroutan,Virginia Polytechnic Institute and State University,Assistant Professor,Hosein Foroutan,Hosein Foroutan,2017,Y,ASST,M,,,Civil and Environmental Engineering,https://www.airflows.cee.vt.edu/people/hosein-foroutan/,,Pennsylvania State University,,,,,,,U.S. Environmental Protection Agency,,['AUTHOR_ID:55325066500']
1146,Howard,Gartner,Virginia Polytechnic Institute and State University,Associate Professor,Howard S. Gartner,Howard Gartner,1989,Y,ASSOC,M,,,Architecture,https://archdesign.caus.vt.edu/faculty/h-scott-gartner/; https://www.linkedin.com/in/gartner-scott-b45904a0/,,.,,Harvard University,1987-1988,University of Houstin,1978-1983,,"University of Houstin, 1988-1989",,
1147,Hsiu,Chen-Yu,Virginia Polytechnic Institute and State University,Associate Professor,Hsiu I. Chen-Yu,Hsiu Chen-Yu,,Y,PROF,F,,,"Apparel, Housing and Resource Management",https://liberalarts.vt.edu/departments-and-schools/apparel-housing-and-resource-management/faculty/jessie-chen-yu.html#,,University of Minnesota,,Colorado State University,,,,,,,
1148,Huiyuan,Zhu,Virginia Polytechnic Institute and State University,Assistant Professor,Huiyuan Zhu,Huiyuan Zhu,2018,Y,ASST,F,,,Chemical Engineering,https://che.vt.edu/People/Faculty/Zhu.html,,,,,,,,,,,['AUTHOR_ID:56131442800']
1149,Humberto,Rodriguez-Camilloni,Virginia Polytechnic Institute and State University,Professor,Humberto L. Rodriguez-Camilloni,Humberto Rodriguez-Camilloni,1983,Y,PROF ,M,,RETIRED(2019),Architecture,https://archdesign.caus.vt.edu/faculty/humberto-rodriguez-camilloni-ph-d/ ; https://www.linkedin.com/in/humberto-rodriguez-camilloni-b1001a25/,,Yale University,1972-1975,Yale University; Yale University,,Yale University,,,,,['AUTHOR_ID:54956603500']
1150,Husen,Zhang,Virginia Polytechnic Institute and State University,Research Asst Professor Ay,Husen Zhang,Husen Zhang,,,,,,,.,,,,,,,,,,,,['AUTHOR_ID:7409194020']
1151,Hyrum,Smith,Virginia Polytechnic Institute and State University,Assistant Professor,Hyrum L. Smith,Hyrum Smith,2013,N,ASST,M,,Utah Valley University,.,,https://www.uvu.edu/woodbury/docs/cv/hyrum-smith.pdf,Texas Tech University,2010,University of Utah,2003,Utah State University,2002,"Virignia Tech, 2009-2013;",,,['AUTHOR_ID:54969901400']
1152,Ian,Kimbrough,Virginia Polytechnic Institute and State University,Assistant Professor,Ian Kimbrough,Ian Kimbrough,2017,Y,ASST,M,,,Neuroscience,https://www.linkedin.com/in/ian-kimbrough-60278710/,,"University of Alabama, Birmingham",2011-2015,.,,University of Alabama,2008-2010,,"Virginia Tech, 2016-2017",,
1153,Ian,Herring,Virginia Polytechnic Institute and State University,Associate Professor,Ian P. Herring,Ian Herring,1994,Y,ASSOC (ASST DIR),M,,,Small Animal Clinical Sciences,https://www.vetmed.vt.edu/people/bios/herring.asp,,Texas A&M University,1994,Virignia Tech,1998,Texas A&M University; Texas A&M University,1990;1992,,,,['AUTHOR_ID:6701698254']
1154,Ibrahim,Ozcan,Virginia Polytechnic Institute and State University,Research Assistant Professor,Ibrahim A. Ozcan,Ibrahim Ozcan,2015,N,PROF,M,,"Acıbadem Üniversitesi, Turkey",Arlington Innovation Center,https://www.linkedin.com/in/alpay-%C3%B6zcan-495a043/,,"Washington University, St. Louis",1994-2000,Imperial College London,1992-1993,"Boğaziçi University, Turkey",1988-1992,"Acıbadem Üniversitesi, Turkey, 2016-Present","Washington University, St. Luis, 2000-2011; Virginia Tech, 2011-2015",,
1155,Ignacio,Saez,Virginia Polytechnic Institute and State University,Research Assistant Professor,Ignacio Saez,Ignacio Saez,2011,N,ASST,M,,"University of California, Berkely",Carilion Research Institute,https://www.linkedin.com/in/ignacio-saez-2a0b906/,,Baylor College of Medicine,2003-2009,,,"University of Navarra, Spain",1997-2002,"University of California, Davis,2018-Present","Baylor College of Medicine, 2009-2010; Virginia Tech, 2010-2012; University of California, Berkely, 2013-2018",,
1156,Ignacio,Moore,Virginia Polytechnic Institute and State University,Associate Professor,Ignacio T. Moore,Ignacio Moore,2004,Y,PROF,M,,,Biological Sciences,https://www.biol.vt.edu/faculty/moore/index.html,,Oregon State University,1999,.,,University of Arizona,1994,,"University of Washington, 2003",,['AUTHOR_ID:7102234283']
1157,Igor,Sharakhov,Virginia Polytechnic Institute and State University,Associate Professor,Igor V. Sharakhov,Igor Sharakhov,2004,Y,PROF,M,,,Entomology,https://www.linkedin.com/in/igor-sharakhov-b9869b2/,,"Institute of Cytology and Genetics, Russia",1996,Tomsk State University,1984-1989,,,,"Tomsk State University,  Russia, 1996-1999; University at Buffalo, 1999-2001; University of Notre Dame, 2001-2004",,['AUTHOR_ID:6603629207']
1158,Iliana,Pagan-Teitelbaum,Virginia Polytechnic Institute and State University,Assistant Professor,Iliana Pagan-Teitelbaum,Iliana Pagan-Teitelbaum,2014,N,ASST,F,,VIS (West Chester University of Pennsylvania),Modern and Classical Languages and Literatures,https://ilianapagan.com/bio/,,,,,,,,,,,
1159,Ing,Chen,Virginia Polytechnic Institute and State University,Professor,Ing Ray Chen,Ing Chen,1997,Y,PROF,M,,,Computer Science,http://people.cs.vt.edu/~irchen/#biography,,University of Houstin,,University of Houstin,,"National Taiwan University, Taiwan",,"University of Mississippi, 1989-1994; National Cheng Kung University, Taiwan, 1995-1996",,,"['AUTHOR_ID:7402043269', 'AUTHOR_ID:7401912424']"
1160,Inga,Haugen,Virginia Polytechnic Institute and State University,Prof - Assistant Professor,Inga Haugen,Inga Haugen,2014,Y,.,F,,,University Libraries,https://www.linkedin.com/in/inga-haugen-ab01381b/,,.,,University of Tennessee Knoxville,2012-2014,,,,,,['AUTHOR_ID:57194031715']
1161,Ioannis,Koutromanos,Virginia Polytechnic Institute and State University,Assistant Professor,Ioannis Koutromanos,Ioannis Koutromanos,2012,Y,ASSOC,M,,,Civil and Environmental Engineering,https://www.linkedin.com/in/ioannis-koutromanos-28105926/,,"University of California, San Diego",2006-2011,.,,"National Technical University of Athens, Greece",2000-2005,,"University of California, San Diego, 2011-2012",,['AUTHOR_ID:24605362100']
1162,Irene,Leech,Virginia Polytechnic Institute and State University,Associate Professor,Irene E. Leech,Irene Leech,1989,Y,ASST,F,,,"Apparel, Housing and Resource Management",https://www.linkedin.com/in/irene-leech-482b406/,,Virginia Tech,1984-1988,Virginia Tech,1980-1982,Virginia Tech,1976-1980,,,,['AUTHOR_ID:6506406332']
1163,Irving,Allen,Virginia Polytechnic Institute and State University,Assistant Professor,Irving C. Allen,Irving Allen,2012,Y,ASST,M,,,Biomedical Sciences and Pathobiology,https://www.vetmed.vt.edu/people/bios/allen-irving.asp,,"University of North Carolina, Chapel Hill",2006,"University of North Carolina, Greensboro; North Carolina State University",2000; 2012,East Carolina University,1977,,"University of North Carolina, Chapel Hill, 2007-2011",,['AUTHOR_ID:12782207700']
1164,Ishwar,Puri,Virginia Polytechnic Institute and State University,Professor and Eminent Scholar,Ishwar K. Puri,Ishwar Puri,2013,N,PROF (DEAN),M,,McMaster University(Canada),Engineering Science and Mechanics,http://www.ikpuri.com/,,"University of California, San Diego",1987,"University of Delhi, India",1984,"University of Delhi, India",1982,"University of Illinois, Chicago, 1990-2004; Virginia Tech, 2004-2013;","University of California, San Diego, 1987-1990",,['AUTHOR_ID:7005677054']
1165,Isis,Mullarky,Virginia Polytechnic Institute and State University,Assistant Professor,Isis K. Mullarky,Isis Mullarky,,,,,,,.,https://news.cals.vt.edu/insights/2014/02/virginia-tech-dairy-science-professor-receives-prestigious-white-house-award/,,,,,,,,,,,"['AUTHOR_ID:6506767629', 'AUTHOR_ID:55630758900', 'AUTHOR_ID:55647038600']"
1166,Isis,Kanevsky,Virginia Polytechnic Institute and State University,Associate Professor,Isis Kanevsky,Isis Kanevsky,2016,N,.,F,,Pfizer,Dairy Science,https://www.linkedin.com/in/isis-kanevsky-7a9a4b12/,,Penn State University,1998-2003,University of Vermont,1996-1998,University of Vermont,1996,"Virginia Tech, 2006-2016","Trudeau Institute,2003-2006",,"['AUTHOR_ID:55630758900', 'AUTHOR_ID:57192948544', 'AUTHOR_ID:55647038600']"
1167,Iskander,Ismailov,Virginia Polytechnic Institute and State University,Research Assistant Professor,Iskander Ismailov,Iskander Ismailov,,Y,RS ASST,M ,,,Fralin Biomedical Research Institute,https://fbri.vtc.vt.edu/people-directory/research-faculty/ismailov-iskander.html,,Institute of Physiology Uzbek Academy of Sciences; Central Asia Medical Pediatric Institute(M.D.),.,,,,,"University of Alabama, Birmingham; Baylor College of Medicine","Institute of Physiology Uzbek Academy of Sciences; University of Alabama, Birmingham; ",,
1168,Iveta,Becvarova,Virginia Polytechnic Institute and State University,Assistant Professor,Iveta Becvarova,Iveta Becvarova,2011,N,DIRECTOR,F,,"Hill’s Pet Nutrition, USA",Veterinary Nutrition,"https://www.vettube.eu/author/ivetabecvarova.html#:~:text=Iveta%20Becvarova%2C%20DVM%2C%20MS%2C,Nutrition%20Europe%20from%202011%2D2018.",,"University of Veterinary and Pharmaceutical Sciences Brno, Czech Republic(DVM)",1999,Virginia-Maryland College of Veterinary Medicine,2006,,,"Virginia Tech, 2006-2011",,,['AUTHOR_ID:13606541900']
1169,Ivica,Bukvic,Virginia Polytechnic Institute and State University,Assistant Professor,Ivica Bukvic,Ivica Bukvic,2006,Y,PROF,M ,,,Music,https://www.linkedin.com/in/ivica-bukvic-548b9a1b/,http://ico.bukvic.net/PDF/Ivica_Ico_Bukvic_CV_all.pdf,University of Cincinnati,2001-2005,University of Cincinnati; Virginia Tech,2001; 2014-2015,University of Cincinnati,1998,,,,"['AUTHOR_ID:35093638900', 'AUTHOR_ID:57193223183']"
1170,Jaan,Holt,Virginia Polytechnic Institute and State University,Professor and Eminent Scholar,Jaan Holt,Jaan Holt,,N,PROF EMERITUS,M ,,RETIRED,Architecture,https://vtnews.vt.edu/articles/2016/09/caus-holtemeritus.html,,,,,,,,,,,
1171,Jack,Finney,Virginia Polytechnic Institute and State University,Administrative - Professor,Jack W. Finney,Jack Finney,1987,Y,VICE PROVOST,M ,,,Administration,https://faculty.vt.edu/faculty-affairs-staff/jack-finney.html,,University of Kansas,1983,West Virginia University; University of Kansas,1978; 1981,West Virginia University,1976,"John Hopkins University, 1985-1987","John Hopkins University, 1983-1985",,['AUTHOR_ID:35507925500']
1172,Jackson,Webster,Virginia Polytechnic Institute and State University,Professor,Jackson R. Webster,Jackson Webster,,N,PROF EMERITUS,M ,,RETIRED,Ecology,https://vtnews.vt.edu/articles/2015/06/060915-science-websteremeritus.html,,,,,,,,,,,['AUTHOR_ID:7402197340']
1173,Jacob,Apkarian,Virginia Polytechnic Institute and State University,Assistant Professor,Jacob Apkarian,Jacob Apkarian,2016,N,ASST,M ,,"York College, CUNY",Sociology,https://www.york.cuny.edu/portal_college/japkarian/faculty_cv_view,,"University of California, Riverside",2015,,,Rennselaer Polytechnic Institute,2005,"Virginia Tech, 2015-2016",,,
1174,Jacob,Barney,Virginia Polytechnic Institute and State University,Assistant Professor,Jacob Barney,Jacob Barney,2010,Y,ASSOC,M ,,,Plant and Environmental Sciences,https://spes.vt.edu/faculty-staff/faculty/barney-jacob.html,,Cornell University,2007,Cornell University,2003,University of Kentucky,2000,,,,['AUTHOR_ID:9736953000']
